indic_cr,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PRIS_OFF_CAP,NR,LT	8011 	8011 	8011 	9399 	9399 	9399 	9399 	9399 	9399 	9062 	9062 
PRIS_OFF_CAP,NR,LU	711 	711 	711 	711 	711 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,LV	3522 	3783 	4409 	5871 	5852 	8144 	7970 	: 	8333 	8015 	8042 
PRIS_OFF_CAP,NR,ME	1345 	1345 	1375 	: 	: 	1116 	1116 	1116 	1066 	1022 	1280 
PRIS_OFF_CAP,NR,MK	: 	2519 	: 	: 	: 	: 	: 	1941 	2041 	1941 	1681 
PRIS_OFF_CAP,NR,MT	: 	675 	675 	622 	622 	628 	646 	618 	584 	547 	516 
PRIS_OFF_CAP,NR,NL	: 	: 	: 	14299 	14665 	15283 	15731 	15509 	16033 	17668 	: 
PRIS_OFF_CAP,NR,NO	: 	: 	3880 	3850 	3916 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,PL	85940 	88637 	89178 	89164 	87742 	88662 	88498 	87961 	86755 	86019 	85049 
PRIS_OFF_CAP,NR,PT	12934 	12694 	12600 	12591 	12591 	12400 	12342 	12330 	12174 	12102 	12464 
PRIS_OFF_CAP,NR,RO	19414 	20408 	27889 	27479 	28901 	29389 	27125 	26618 	34165 	33960 	34299 
PRIS_OFF_CAP,NR,RS	10307 	9892 	9802 	9459 	9340 	9200 	9000 	6924 	: 	: 	: 
PRIS_OFF_CAP,NR,SE	6539 	6147 	6252 	6262 	6475 	6675 	6963 	7045 	6805 	6981 	7175 
PRIS_OFF_CAP,NR,SI	1339 	1339 	1322 	1322 	1293 	1293 	1309 	1309 	1115 	1098 	1098 
PRIS_OFF_CAP,NR,SK	11499 	10941 	11033 	11184 	11828 	11812 	11304 	11201 	11085 	10876 	10818 
PRIS_OFF_CAP,NR,TR	213862 	208780 	202675 	177636 	163129 	154115 	142460 	116754 	114348 	106779 	: 
PRIS_OFF_CAP,NR,UKC-L	88491 	88849 	89170 	89116 	89739 	88444 	92933 	92211 	91226 	: 	: 
PRIS_OFF_CAP,NR,UKN	1855 	: 	: 	1793 	1914 	1905 	1765 	1765 	1765 	1842 	1722 
PRIS_OFF_CAP,NR,XK	1567 	2290 	2290 	2394 	2132 	2127 	1785 	1484 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,AL	217.26 	189.63 	189.70 	190.03 	158.04 	: 	: 	155.98 	: 	138.95 	131.42 
PRIS_OFF_CAP,P_HTHAB,AT	: 	101.27 	48.12 	102.77 	101.87 	102.18 	102.89 	104.75 	102.55 	104.12 	104.50 
PRIS_OFF_CAP,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	83.24 	80.12 	: 	: 
PRIS_OFF_CAP,P_HTHAB,BE	: 	: 	: 	88.56 	: 	87.04 	84.73 	83.74 	84.22 	79.47 	79.17 
PRIS_OFF_CAP,P_HTHAB,BG	116.89 	119.56 	118.69 	102.86 	108.62 	121.27 	129.56 	134.14 	126.37 	120.61 	125.14 
PRIS_OFF_CAP,P_HTHAB,CH	88.61 	88.95 	89.86 	88.91 	: 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,CY	65.49 	61.77 	: 	56.67 	: 	42.73 	42.92 	44.06 	42.85 	45.17 	41.48 
PRIS_OFF_CAP,P_HTHAB,CZ	198.47 	: 	196.65 	197.20 	190.44 	199.01 	202.82 	195.49 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,DE	89.85 	89.19 	89.60 	91.03 	93.84 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,DK	65.64 	62.48 	61.71 	66.45 	73.80 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,EE	252.74 	221.57 	221.51 	: 	225.11 	259.06 	: 	275.41 	272.78 	271.09 	289.89 
PRIS_OFF_CAP,P_HTHAB,EL	: 	95.28 	91.02 	91.05 	90.47 	90.05 	89.17 	93.28 	92.87 	87.64 	86.42 
PRIS_OFF_CAP,P_HTHAB,ES	137.86 	137.79 	138.12 	: 	: 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,FI	53.96 	53.10 	53.92 	56.27 	56.56 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,FR	: 	89.46 	88.06 	88.08 	87.71 	87.68 	87.31 	88.08 	87.16 	85.45 	81.24 
PRIS_OFF_CAP,P_HTHAB,HR	86.66 	: 	: 	95.19 	94.71 	92.00 	91.70 	91.40 	81.36 	81.23 	81.19 
PRIS_OFF_CAP,P_HTHAB,HU	147.97 	143.00 	140.11 	134.02 	127.40 	127.00 	126.59 	126.22 	123.17 	120.05 	124.99 
PRIS_OFF_CAP,P_HTHAB,IE	: 	: 	: 	101.43 	90.00 	92.44 	100.86 	98.01 	98.47 	95.61 	85.85 
PRIS_OFF_CAP,P_HTHAB,IS	: 	: 	42.10 	44.97 	47.59 	50.95 	44.12 	: 	: 	45.40 	45.96 
PRIS_OFF_CAP,P_HTHAB,IT	84.55 	84.30 	83.75 	82.95 	83.04 	81.36 	80.59 	78.25 	77.36 	76.00 	74.75 
PRIS_OFF_CAP,P_HTHAB,LI	52.47 	52.90 	53.16 	53.52 	53.87 	54.29 	54.83 	55.33 	55.72 	56.20 	50.91 
PRIS_OFF_CAP,P_HTHAB,LT	285.20 	281.29 	277.34 	321.74 	319.32 	316.26 	312.92 	307.90 	299.14 	284.62 	282.08 
PRIS_OFF_CAP,P_HTHAB,LU	118.11 	120.37 	123.38 	126.30 	129.35 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,LV	182.07 	193.99 	223.93 	294.65 	292.39 	402.41 	389.77 	: 	392.97 	370.58 	366.91 
PRIS_OFF_CAP,P_HTHAB,ME	216.11 	216.10 	220.98 	: 	: 	179.74 	179.91 	180.04 	172.21 	165.60 	207.95 
PRIS_OFF_CAP,P_HTHAB,MK	: 	121.47 	: 	: 	: 	: 	: 	94.35 	99.43 	94.75 	82.19 
PRIS_OFF_CAP,P_HTHAB,MT	: 	146.64 	149.86 	141.46 	146.22 	149.04 	154.71 	148.92 	141.05 	133.11 	126.52 
PRIS_OFF_CAP,P_HTHAB,NL	: 	: 	: 	84.61 	87.14 	91.08 	94.03 	93.11 	96.73 	107.17 	: 
PRIS_OFF_CAP,P_HTHAB,NO	: 	: 	74.46 	74.52 	76.66 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,PL	226.30 	233.42 	234.88 	234.61 	230.79 	232.94 	232.50 	231.09 	228.17 	225.56 	223.13 
PRIS_OFF_CAP,P_HTHAB,PT	125.68 	123.13 	121.84 	121.36 	120.75 	118.24 	117.07 	116.62 	115.14 	114.57 	118.10 
PRIS_OFF_CAP,P_HTHAB,RO	99.40 	103.89 	141.13 	138.29 	144.89 	146.80 	134.98 	124.30 	159.19 	166.14 	166.21 
PRIS_OFF_CAP,P_HTHAB,RS	147.21 	140.51 	138.52 	132.96 	130.69 	128.11 	124.71 	95.48 	: 	: 	: 
PRIS_OFF_CAP,P_HTHAB,SE	64.61 	61.50 	63.47 	64.24 	67.13 	69.85 	73.43 	74.82 	72.85 	75.42 	78.13 
PRIS_OFF_CAP,P_HTHAB,SI	64.78 	64.81 	64.04 	66.85 	65.50 	62.80 	63.68 	63.85 	54.47 	54.03 	54.62 
PRIS_OFF_CAP,P_HTHAB,SK	211.26 	201.29 	203.33 	206.30 	218.39 	218.30 	209.17 	207.72 	205.64 	202.07 	201.23 
PRIS_OFF_CAP,P_HTHAB,TR	264.65 	261.58 	257.39 	228.63 	212.77 	203.78 	190.65 	158.37 	157.59 	149.31 	: 
PRIS_OFF_CAP,P_HTHAB,UKC-L	150.08 	151.72 	153.39 	154.52 	156.95 	155.83 	164.86 	164.86 	164.48 	: 	: 
PRIS_OFF_CAP,P_HTHAB,UKN	98.88 	: 	: 	97.07 	104.18 	104.29 	97.03 	97.54 	98.11 	103.12 	97.27 
PRIS_OFF_CAP,P_HTHAB,XK	87.13 	128.40 	129.26 	: 	: 	: 	: 	82.71 	: 	: 	: 
