iccs,sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,F,P_HTHAB,IT	0.92 	0.92 	0.86 	0.81 	0.92 	0.93 	0.49 	0.53 	0.55 	0.49 	0.46 
ICCS0101,F,P_HTHAB,LI	: 	: 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,LT	5.89 	5.80 	5.71 	5.78 	6.30 	6.05 	5.12 	5.47 	4.85 	4.62 	4.75 
ICCS0101,F,P_HTHAB,LU	: 	1.70 	0.35 	1.78 	1.46 	1.86 	1.52 	1.56 	: 	: 	: 
ICCS0101,F,P_HTHAB,LV	3.73 	3.98 	4.41 	4.56 	4.24 	4.10 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,ME	0.32 	0.32 	0.32 	0.32 	0.64 	0.00 	0.00 	0.32 	0.00 	0.00 	0.32 
ICCS0101,F,P_HTHAB,MT	: 	0.00 	0.00 	0.00 	0.00 	0.47 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,NO	: 	0.54 	0.46 	0.43 	0.35 	0.24 	0.36 	0.49 	0.45 	0.46 	0.38 
ICCS0101,F,P_HTHAB,PL	1.89 	1.91 	1.86 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,PT	0.31 	0.31 	0.29 	0.28 	0.27 	0.22 	0.25 	0.27 	0.24 	24 	0.24 
ICCS0101,F,P_HTHAB,RO	1.82 	2.04 	2.43 	2.50 	2.44 	2.39 	2.30 	2.37 	2.35 	2.42 	2.51 
ICCS0101,F,P_HTHAB,RS	1.00 	1.16 	1.27 	1.37 	1.42 	1.36 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,SE	0.75 	0.66 	0.63 	0.57 	0.52 	0.61 	0.55 	0.59 	0.53 	0.62 	0.61 
ICCS0101,F,P_HTHAB,SI	0.58 	0.29 	0.38 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,SK	1.15 	1.01 	1.12 	1.08 	1.19 	: 	: 	: 	: 	: 	: 
ICCS0101,F,P_HTHAB,TR	2.95 	: 	2.91 	2.87 	2.81 	2.83 	0.46 	0.34 	0.33 	0.13 	: 
ICCS0101,F,P_HTHAB,UKC-L	0.93 	0.95 	0.95 	0.89 	0.88 	0.89 	0.81 	0.74 	0.75 	0.76 	0.66 
ICCS0101,F,P_HTHAB,UKM	: 	: 	: 	: 	2.04 	2.04 	2.05 	1.98 	1.63 	1.41 	1.08 
ICCS0101,F,P_HTHAB,UKN	: 	: 	0.74 	1.17 	1.18 	1.18 	0.86 	0.76 	0.65 	0.66 	: 
ICCS0101,F,P_HTHAB,XK	1.65 	: 	: 	: 	: 	: 	: 	2.25 	1.46 	1.11 	: 
ICCS0101,M,NR,AL	408 	426 	321 	383 	1060 	1140 	1174 	1094 	1140 	1230 	1087 
ICCS0101,M,NR,AT	489 	459 	482 	450 	458 	476 	504 	502 	489 	483 	498 
ICCS0101,M,NR,BA	145 	: 	339 	426 	382 	387 	: 	: 	: 	: 	: 
ICCS0101,M,NR,BE	: 	: 	: 	: 	: 	: 	827 	801 	812 	774 	797 
ICCS0101,M,NR,BG	793 	815 	774 	772 	861 	901 	944 	936 	925 	997 	1026 
ICCS0101,M,NR,CH	429 	484 	498 	498 	454 	467 	462 	456 	455 	459 	447 
ICCS0101,M,NR,CY	: 	: 	: 	: 	: 	16 	19 	18 	18 	17 	: 
ICCS0101,M,NR,CZ	991 	1029 	1073 	770 	1053 	1062 	1021 	1151 	: 	: 	: 
ICCS0101,M,NR,DE	3179 	3155 	3187 	3314 	3450 	3546 	: 	: 	: 	: 	: 
ICCS0101,M,NR,DK	173 	166 	182 	187 	180 	189 	179 	193 	177 	166 	160 
ICCS0101,M,NR,EE	314 	341 	374 	407 	: 	484 	: 	505 	495 	: 	: 
ICCS0101,M,NR,EL	795 	810 	787 	757 	814 	765 	807 	680 	649 	567 	712 
ICCS0101,M,NR,ES	3656 	3498 	3603 	3646 	3550 	3657 	3593 	3038 	3108 	3073 	2822 
ICCS0101,M,NR,FI	434 	457 	476 	544 	548 	557 	542 	548 	541 	539 	522 
ICCS0101,M,NR,FR	4654 	4459 	4626 	2889 	3580 	3764 	3168 	3153 	3157 	3230 	3301 
ICCS0101,M,NR,HR	306 	: 	: 	323 	375 	386 	381 	: 	411 	429 	426 
ICCS0101,M,NR,HU	1475 	1530 	: 	1266 	1382 	1332 	: 	: 	: 	: 	: 
ICCS0101,M,NR,IE	: 	: 	: 	: 	: 	393 	: 	: 	: 	: 	: 
ICCS0101,M,NR,IS	7 	6 	: 	: 	: 	18 	: 	: 	: 	: 	: 
