iccs,sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS03011,F,NR,AL	0 	0 	1 	1 	1 	1 	1 	1 	12 	13 	2 
ICCS03011,F,NR,AT	6 	6 	6 	4 	4 	2 	3 	4 	1 	0 	0 
ICCS03011,F,NR,BA	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03011,F,NR,BE	: 	: 	: 	: 	: 	: 	6 	7 	3 	9 	8 
ICCS03011,F,NR,BG	0 	0 	1 	1 	1 	1 	1 	3 	1 	0 	0 
ICCS03011,F,NR,CH	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 
ICCS03011,F,NR,CY	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 
ICCS03011,F,NR,CZ	2 	3 	4 	7 	7 	7 	4 	3 	: 	: 	: 
ICCS03011,F,NR,DE	7 	3 	7 	10 	10 	10 	: 	: 	: 	: 	: 
ICCS03011,F,NR,DK	2 	: 	: 	0 	1 	1 	0 	0 	0 	0 	: 
ICCS03011,F,NR,EE	1 	0 	0 	0 	: 	1 	: 	0 	0 	: 	: 
ICCS03011,F,NR,EL	11 	5 	6 	2 	5 	1 	1 	0 	2 	4 	1 
ICCS03011,F,NR,ES	28 	42 	51 	18 	12 	10 	13 	6 	13 	12 	10 
ICCS03011,F,NR,FR	40 	37 	44 	: 	93 	98 	127 	140 	102 	114 	115 
ICCS03011,F,NR,HR	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 
ICCS03011,F,NR,HU	14 	14 	: 	3 	2 	5 	: 	: 	: 	: 	: 
ICCS03011,F,NR,IS	0 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 
ICCS03011,F,NR,IT	: 	: 	: 	: 	39 	40 	42 	46 	47 	54 	54 
ICCS03011,F,NR,LI	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,NR,LT	1 	0 	0 	0 	0 	2 	1 	3 	3 	1 	2 
ICCS03011,F,NR,LU	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
ICCS03011,F,NR,LV	2 	1 	0 	0 	1 	0 	: 	: 	: 	: 	: 
ICCS03011,F,NR,ME	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ICCS03011,F,NR,MT	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03011,F,NR,NO	: 	5 	5 	2 	2 	2 	3 	1 	2 	2 	2 
ICCS03011,F,NR,PL	3 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,NR,PT	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
ICCS03011,F,NR,RO	15 	13 	21 	16 	18 	10 	7 	2 	3 	4 	4 
ICCS03011,F,NR,RS	1 	1 	1 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03011,F,NR,SE	1 	0 	2 	3 	2 	3 	2 	2 	2 	2 	1 
ICCS03011,F,NR,SI	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,NR,SK	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
ICCS03011,F,NR,TR	132 	: 	137 	134 	129 	94 	33 	15 	14 	16 	: 
ICCS03011,F,NR,UKC-L	18 	19 	21 	20 	17 	15 	12 	9 	9 	9 	10 
ICCS03011,F,NR,UKM	: 	: 	: 	: 	: 	1 	1 	1 	1 	1 	1 
ICCS03011,F,NR,UKN	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
ICCS03011,F,NR,XK	0 	: 	: 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,AL	0.00 	0.00 	0.07 	0.07 	0.07 	: 	: 	0.07 	: 	0.81 	0.13 
ICCS03011,F,P_HTHAB,AT	0.13 	0.13 	0.14 	0.09 	0.09 	0.05 	0.07 	0.09 	0.02 	0.00 	0.00 
ICCS03011,F,P_HTHAB,BE	: 	: 	: 	: 	: 	: 	0.11 	0.13 	0.05 	0.16 	0.15 
ICCS03011,F,P_HTHAB,BG	0.00 	0.00 	0.03 	0.03 	0.03 	0.03 	0.03 	0.08 	0.03 	0.00 	0.00 
ICCS03011,F,P_HTHAB,CH	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.02 	0.03 	0.00 	0.00 	0.00 
ICCS03011,F,P_HTHAB,CY	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,CZ	0.04 	0.06 	0.07 	0.13 	0.13 	0.13 	0.07 	0.06 	: 	: 	: 
ICCS03011,F,P_HTHAB,DE	0.02 	0.01 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,DK	0.07 	: 	: 	0.00 	0.04 	0.04 	0.00 	0.00 	0.00 	0.00 	: 
ICCS03011,F,P_HTHAB,EE	0.14 	0.00 	0.00 	0.00 	: 	0.14 	: 	0.00 	0.00 	: 	: 
ICCS03011,F,P_HTHAB,EL	0.20 	0.09 	0.11 	0.04 	0.08 	0.02 	0.02 	0.00 	0.04 	0.07 	0.02 
ICCS03011,F,P_HTHAB,ES	0.12 	0.18 	0.22 	0.08 	0.05 	0.04 	0.05 	0.03 	0.06 	0.05 	0.04 
ICCS03011,F,P_HTHAB,FR	0.12 	0.11 	0.13 	: 	0.27 	0.29 	0.38 	0.42 	0.31 	0.34 	0.35 
ICCS03011,F,P_HTHAB,HR	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 
ICCS03011,F,P_HTHAB,HU	0.27 	0.27 	: 	0.06 	0.04 	0.10 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,IS	0.00 	0.00 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,IT	: 	: 	: 	: 	0.12 	0.13 	0.14 	0.15 	0.15 	0.18 	0.18 
ICCS03011,F,P_HTHAB,LI	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,LT	0.07 	0.00 	0.00 	0.00 	0.00 	0.12 	0.06 	0.18 	0.18 	0.06 	0.12 
ICCS03011,F,P_HTHAB,LU	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 
ICCS03011,F,P_HTHAB,LV	0.19 	0.09 	0.00 	0.00 	0.09 	0.00 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,ME	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS03011,F,P_HTHAB,MT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,NO	: 	0.19 	0.19 	0.08 	0.08 	0.08 	0.06 	0.02 	0.04 	0.04 	0.04 
ICCS03011,F,P_HTHAB,PL	0.02 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,PT	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS03011,F,P_HTHAB,RO	0.15 	0.13 	0.21 	0.16 	0.18 	0.10 	0.07 	0.02 	0.03 	0.04 	0.04 
ICCS03011,F,P_HTHAB,RS	0.03 	0.03 	0.03 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,SE	0.02 	0.00 	0.04 	0.06 	0.04 	0.06 	0.04 	0.04 	0.04 	0.04 	0.02 
ICCS03011,F,P_HTHAB,SI	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,SK	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 
ICCS03011,F,P_HTHAB,TR	0.33 	: 	0.35 	0.35 	0.34 	0.25 	0.09 	0.04 	0.04 	0.04 	: 
ICCS03011,F,P_HTHAB,UKC-L	0.06 	0.06 	0.07 	0.07 	0.06 	0.05 	0.04 	0.03 	0.03 	0.03 	0.04 
ICCS03011,F,P_HTHAB,UKM	: 	: 	: 	: 	: 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 
ICCS03011,F,P_HTHAB,UKN	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS03011,F,P_HTHAB,XK	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,NR,AL	108 	90 	98 	77 	79 	71 	74 	73 	60 	95 	107 
ICCS03011,M,NR,AT	483 	499 	482 	399 	424 	424 	402 	398 	374 	259 	245 
ICCS03011,M,NR,BA	152 	45 	46 	57 	67 	61 	: 	: 	: 	: 	: 
ICCS03011,M,NR,BE	: 	: 	: 	: 	: 	: 	827 	776 	736 	767 	782 
ICCS03011,M,NR,BG	216 	228 	245 	245 	281 	280 	297 	314 	376 	411 	477 
ICCS03011,M,NR,CH	179 	202 	201 	175 	177 	171 	158 	158 	179 	147 	161 
ICCS03011,M,NR,CY	: 	: 	: 	: 	: 	35 	30 	: 	: 	: 	: 
ICCS03011,M,NR,CZ	539 	540 	538 	496 	469 	463 	491 	501 	: 	: 	: 
ICCS03011,M,NR,DE	1632 	1646 	1193 	1250 	1227 	1320 	: 	: 	: 	: 	: 
ICCS03011,M,NR,DK	138 	105 	102 	96 	71 	54 	62 	50 	56 	53 	57 
ICCS03011,M,NR,EE	98 	91 	86 	90 	: 	88 	: 	92 	124 	: 	: 
ICCS03011,M,NR,EL	270 	302 	165 	137 	196 	178 	176 	207 	218 	212 	201 
ICCS03011,M,NR,ES	3285 	3236 	3174 	2230 	2115 	2158 	2204 	2353 	2459 	2437 	2265 
ICCS03011,M,NR,FR	4280 	4320 	4379 	: 	7162 	7568 	7583 	7551 	7462 	7725 	7974 
ICCS03011,M,NR,HR	46 	: 	: 	91 	97 	100 	142 	: 	156 	158 	145 
ICCS03011,M,NR,HU	663 	610 	: 	266 	294 	385 	: 	: 	: 	: 	: 
ICCS03011,M,NR,IS	6 	11 	: 	: 	: 	12 	: 	: 	: 	: 	: 
ICCS03011,M,NR,IT	: 	: 	: 	: 	1883 	1933 	2010 	1988 	1905 	1812 	1613 
ICCS03011,M,NR,LI	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,NR,LT	326 	353 	310 	314 	457 	469 	499 	467 	422 	419 	399 
ICCS03011,M,NR,LU	: 	34 	11 	22 	23 	32 	24 	24 	: 	: 	: 
ICCS03011,M,NR,LV	125 	136 	134 	132 	138 	148 	: 	: 	: 	: 	: 
ICCS03011,M,NR,ME	2 	8 	10 	3 	2 	4 	3 	3 	12 	7 	3 
ICCS03011,M,NR,MT	: 	19 	12 	5 	7 	6 	: 	: 	: 	: 	: 
ICCS03011,M,NR,NO	: 	385 	380 	364 	330 	261 	271 	283 	254 	258 	224 
ICCS03011,M,NR,PL	1159 	1094 	982 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,NR,PT	156 	200 	199 	204 	203 	207 	203 	198 	223 	234 	209 
ICCS03011,M,NR,RO	1832 	1823 	2016 	1916 	1857 	1904 	1737 	1695 	1543 	1487 	1510 
ICCS03011,M,NR,RS	176 	195 	193 	185 	229 	211 	: 	: 	: 	: 	: 
ICCS03011,M,NR,SE	337 	348 	358 	374 	390 	371 	382 	396 	413 	424 	443 
ICCS03011,M,NR,SI	7 	14 	11 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,NR,SK	135 	241 	143 	144 	142 	: 	: 	: 	: 	: 	: 
ICCS03011,M,NR,TR	11870 	: 	15560 	14426 	12686 	10436 	2225 	813 	895 	546 	: 
ICCS03011,M,NR,UKC-L	7141 	6982 	6575 	6155 	5707 	5393 	5233 	4942 	4533 	4456 	4224 
ICCS03011,M,NR,UKM	: 	: 	: 	: 	: 	160 	154 	161 	168 	172 	176 
ICCS03011,M,NR,UKN	46 	54 	55 	76 	92 	94 	44 	40 	44 	48 	: 
ICCS03011,M,NR,XK	37 	21 	: 	31 	23 	4 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,AL	7.51 	6.19 	6.71 	5.27 	5.41 	: 	: 	5.13 	: 	6.00 	6.74 
ICCS03011,M,P_HTHAB,AT	11.13 	11.57 	11.28 	9.51 	10.20 	10.28 	9.81 	9.76 	9.20 	6.38 	6.06 
ICCS03011,M,P_HTHAB,BE	: 	: 	: 	: 	: 	: 	15.17 	14.37 	13.85 	14.56 	14.97 
ICCS03011,M,P_HTHAB,BG	6.31 	6.61 	7.05 	7.00 	7.97 	7.90 	8.33 	8.75 	10.40 	11.30 	13.03 
ICCS03011,M,P_HTHAB,CH	4.26 	4.84 	4.88 	4.30 	4.40 	4.31 	4.03 	4.07 	4.67 	3.88 	4.32 
ICCS03011,M,P_HTHAB,CY	: 	: 	: 	: 	: 	8.31 	7.16 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,CZ	10.33 	10.38 	10.37 	9.58 	9.08 	8.97 	9.52 	9.73 	: 	: 	: 
ICCS03011,M,P_HTHAB,DE	4.00 	4.04 	2.94 	3.14 	3.10 	3.35 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,DK	4.80 	3.67 	3.59 	3.42 	2.54 	1.94 	2.24 	1.81 	2.04 	1.94 	2.10 
ICCS03011,M,P_HTHAB,EE	15.78 	14.74 	13.95 	14.64 	: 	14.28 	: 	14.85 	19.97 	: 	: 
ICCS03011,M,P_HTHAB,EL	5.18 	5.78 	3.16 	2.60 	3.68 	3.32 	3.24 	3.80 	3.99 	3.89 	3.69 
ICCS03011,M,P_HTHAB,ES	14.36 	14.17 	13.92 	9.77 	9.24 	9.38 	9.54 	10.21 	10.70 	10.65 	10.03 
ICCS03011,M,P_HTHAB,FR	13.23 	13.37 	13.58 	: 	22.43 	23.82 	23.99 	24.00 	23.84 	24.80 	25.74 
ICCS03011,M,P_HTHAB,HR	2.32 	: 	: 	4.46 	4.73 	4.86 	6.89 	: 	7.52 	7.61 	6.98 
ICCS03011,M,P_HTHAB,HU	14.19 	13.05 	: 	5.66 	6.25 	8.16 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,IS	3.38 	6.43 	: 	: 	: 	7.43 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,IT	: 	: 	: 	: 	6.39 	6.69 	7.00 	6.92 	6.65 	6.34 	5.68 
ICCS03011,M,P_HTHAB,LI	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,LT	25.13 	26.90 	23.32 	23.32 	33.70 	34.26 	36.07 	33.19 	29.10 	28.44 	26.82 
ICCS03011,M,P_HTHAB,LU	: 	11.46 	3.80 	7.80 	8.36 	11.92 	9.17 	9.43 	: 	: 	: 
ICCS03011,M,P_HTHAB,LV	14.05 	15.18 	14.82 	14.49 	15.05 	15.97 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,ME	0.65 	2.60 	3.25 	0.98 	0.65 	1.30 	0.98 	0.98 	3.93 	2.30 	0.99 
ICCS03011,M,P_HTHAB,MT	: 	8.20 	5.52 	2.33 	3.30 	2.86 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,NO	: 	14.53 	14.48 	14.00 	12.86 	10.29 	5.44 	5.75 	5.23 	5.38 	4.73 
ICCS03011,M,P_HTHAB,PL	6.31 	5.95 	5.34 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,PT	3.20 	4.10 	4.06 	4.14 	4.09 	4.14 	4.04 	3.92 	4.40 	4.62 	4.12 
ICCS03011,M,P_HTHAB,RO	19.18 	18.98 	20.89 	19.74 	19.05 	19.51 	16.83 	15.42 	14.01 	13.49 	13.68 
ICCS03011,M,P_HTHAB,RS	5.16 	5.69 	5.60 	5.34 	6.58 	6.03 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,SE	6.63 	6.94 	7.26 	7.68 	8.10 	7.78 	8.08 	8.44 	8.88 	9.21 	9.71 
ICCS03011,M,P_HTHAB,SI	0.68 	1.37 	1.07 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,SK	5.08 	9.09 	5.40 	5.45 	5.38 	: 	: 	: 	: 	: 	: 
ICCS03011,M,P_HTHAB,TR	29.28 	: 	39.38 	37.00 	32.97 	27.49 	5.93 	2.19 	2.45 	1.52 	: 
ICCS03011,M,P_HTHAB,UKC-L	24.51 	24.14 	22.91 	21.64 	20.26 	19.30 	18.86 	17.97 	16.64 	16.49 	15.77 
ICCS03011,M,P_HTHAB,UKM	: 	: 	: 	: 	: 	6.20 	5.98 	6.29 	6.61 	6.82 	7.02 
ICCS03011,M,P_HTHAB,UKN	: 	: 	: 	5.95 	10.21 	10.49 	4.93 	4.51 	4.99 	5.49 	: 
ICCS03011,M,P_HTHAB,XK	4.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,T,NR,AL	108 	90 	99 	78 	80 	72 	75 	74 	72 	108 	109 
ICCS03011,T,NR,AT	489 	505 	488 	403 	428 	426 	405 	402 	375 	259 	245 
ICCS03011,T,NR,BA	152 	45 	46 	57 	67 	61 	: 	: 	: 	: 	: 
ICCS03011,T,NR,BE	: 	: 	: 	: 	: 	: 	833 	783 	739 	776 	790 
ICCS03011,T,NR,BG	216 	228 	246 	246 	282 	281 	298 	317 	377 	411 	477 
ICCS03011,T,NR,CH	180 	202 	201 	175 	177 	171 	159 	159 	179 	147 	161 
ICCS03011,T,NR,CY	: 	: 	: 	: 	: 	35 	30 	: 	: 	: 	: 
ICCS03011,T,NR,CZ	541 	543 	542 	503 	476 	470 	495 	504 	: 	: 	: 
ICCS03011,T,NR,DE	1639 	1649 	1200 	1260 	1237 	1330 	: 	: 	: 	: 	: 
ICCS03011,T,NR,DK	140 	105 	102 	96 	72 	55 	62 	50 	56 	53 	57 
ICCS03011,T,NR,EE	99 	91 	86 	90 	92 	89 	: 	92 	124 	101 	94 
ICCS03011,T,NR,EL	281 	307 	171 	139 	201 	179 	177 	207 	220 	216 	202 
ICCS03011,T,NR,ES	3313 	3278 	3225 	2248 	2127 	2168 	2217 	2359 	2472 	2449 	2275 
ICCS03011,T,NR,FR	4320 	4357 	4423 	: 	7255 	7666 	7710 	7691 	7564 	7839 	8089 
ICCS03011,T,NR,HR	46 	: 	: 	91 	97 	100 	142 	: 	156 	158 	145 
ICCS03011,T,NR,HU	677 	624 	: 	269 	296 	390 	: 	: 	: 	: 	: 
ICCS03011,T,NR,IS	6 	11 	: 	: 	: 	12 	: 	: 	: 	: 	: 
ICCS03011,T,NR,IT	: 	: 	: 	: 	1922 	1973 	2052 	2034 	1952 	1866 	1667 
ICCS03011,T,NR,LI	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,T,NR,LT	327 	353 	310 	314 	457 	471 	500 	470 	425 	420 	401 
ICCS03011,T,NR,LU	: 	34 	11 	22 	23 	32 	24 	24 	: 	: 	: 
ICCS03011,T,NR,LV	127 	137 	134 	132 	138 	148 	: 	: 	: 	: 	: 
ICCS03011,T,NR,ME	2 	8 	10 	3 	2 	4 	3 	3 	12 	7 	3 
ICCS03011,T,NR,MT	: 	19 	12 	5 	7 	6 	: 	: 	: 	: 	: 
ICCS03011,T,NR,NO	: 	390 	385 	366 	332 	263 	274 	284 	256 	260 	226 
ICCS03011,T,NR,PL	1162 	1095 	983 	1561 	1605 	1700 	1831 	1854 	1886 	2030 	1750 
ICCS03011,T,NR,PT	157 	200 	199 	204 	203 	207 	203 	198 	223 	234 	209 
ICCS03011,T,NR,RO	1847 	1836 	2037 	1932 	1875 	1914 	1744 	1697 	1546 	1491 	1514 
ICCS03011,T,NR,RS	177 	196 	194 	185 	229 	211 	: 	: 	: 	: 	: 
ICCS03011,T,NR,SE	338 	348 	360 	377 	392 	374 	384 	398 	415 	426 	444 
ICCS03011,T,NR,SI	7 	14 	11 	23 	29 	30 	24 	27 	34 	42 	46 
ICCS03011,T,NR,SK	135 	241 	143 	144 	142 	136 	153 	133 	143 	138 	: 
ICCS03011,T,NR,TR	12002 	: 	15697 	14560 	12815 	10530 	2258 	828 	909 	562 	: 
ICCS03011,T,NR,UKC-L	7159 	7001 	6596 	6175 	5724 	5408 	5245 	4951 	4542 	4465 	4234 
ICCS03011,T,NR,UKM	: 	: 	: 	: 	: 	161 	155 	162 	169 	173 	177 
ICCS03011,T,NR,UKN	47 	54 	55 	76 	92 	94 	44 	40 	44 	48 	: 
ICCS03011,T,NR,XK	37 	21 	: 	31 	23 	41 	34 	35 	46 	43 	: 
ICCS03011,T,P_HTHAB,AL	3.76 	3.13 	3.43 	2.70 	2.76 	: 	: 	2.61 	: 	3.39 	3.44 
ICCS03011,T,P_HTHAB,AT	5.54 	5.76 	5.61 	4.70 	5.03 	5.04 	4.82 	4.80 	4.49 	3.11 	2.95 
ICCS03011,T,P_HTHAB,BE	: 	: 	: 	: 	: 	: 	7.51 	7.12 	6.82 	7.22 	7.41 
ICCS03011,T,P_HTHAB,BG	3.06 	3.21 	3.44 	3.42 	3.89 	3.86 	4.07 	4.30 	5.08 	5.50 	6.34 
ICCS03011,T,P_HTHAB,CH	2.12 	2.40 	2.41 	2.12 	2.17 	2.13 	2.00 	2.02 	2.30 	1.91 	2.12 
ICCS03011,T,P_HTHAB,CY	: 	: 	: 	: 	: 	4.04 	3.48 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,CZ	5.10 	5.13 	5.14 	4.77 	4.53 	4.47 	4.71 	4.81 	: 	: 	: 
ICCS03011,T,P_HTHAB,DE	1.98 	2.00 	1.46 	1.55 	1.53 	1.65 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,DK	2.42 	1.83 	1.79 	1.70 	1.28 	0.98 	1.11 	0.90 	1.01 	0.96 	1.04 
ICCS03011,T,P_HTHAB,EE	7.50 	6.92 	6.54 	6.84 	6.99 	6.74 	: 	6.92 	9.30 	7.56 	7.02 
ICCS03011,T,P_HTHAB,EL	2.62 	2.85 	1.59 	1.28 	1.83 	1.63 	1.60 	1.86 	1.98 	1.95 	1.83 
ICCS03011,T,P_HTHAB,ES	7.10 	7.05 	6.94 	4.84 	4.57 	4.64 	4.74 	5.05 	5.32 	5.30 	4.98 
ICCS03011,T,P_HTHAB,FR	6.46 	6.52 	6.64 	: 	11.00 	11.69 	11.81 	11.84 	11.70 	12.18 	12.64 
ICCS03011,T,P_HTHAB,HR	1.12 	: 	: 	2.15 	2.28 	2.35 	3.32 	: 	3.63 	3.67 	3.36 
ICCS03011,T,P_HTHAB,HU	6.92 	6.37 	: 	2.73 	3.00 	3.94 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,IS	1.72 	3.25 	: 	: 	: 	3.73 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,IT	: 	: 	: 	: 	3.16 	3.31 	3.45 	3.43 	3.30 	3.16 	2.84 
ICCS03011,T,P_HTHAB,LI	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,LT	11.64 	12.40 	10.73 	10.75 	15.53 	15.85 	16.65 	15.40 	13.53 	13.19 	12.48 
ICCS03011,T,P_HTHAB,LU	: 	5.76 	1.91 	3.91 	4.18 	5.96 	4.57 	4.69 	: 	: 	: 
ICCS03011,T,P_HTHAB,LV	6.57 	7.03 	6.81 	6.65 	6.89 	7.31 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,ME	0.32 	1.29 	1.61 	0.48 	0.32 	0.64 	0.48 	0.48 	1.94 	1.13 	0.49 
ICCS03011,T,P_HTHAB,MT	: 	4.13 	2.76 	1.16 	1.65 	1.42 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,NO	: 	7.42 	7.39 	7.08 	6.50 	5.21 	5.50 	5.77 	5.27 	5.42 	4.77 
ICCS03011,T,P_HTHAB,PL	3.06 	2.88 	2.59 	4.11 	4.22 	4.47 	4.81 	4.87 	4.96 	5.32 	4.59 
ICCS03011,T,P_HTHAB,PT	1.53 	1.94 	1.92 	1.97 	1.95 	1.97 	1.93 	1.87 	2.11 	2.22 	1.98 
ICCS03011,T,P_HTHAB,RO	9.46 	9.35 	10.31 	9.72 	9.40 	9.56 	8.68 	7.92 	7.20 	7.29 	7.34 
ICCS03011,T,P_HTHAB,RS	2.53 	2.78 	2.74 	2.60 	3.20 	2.94 	: 	: 	: 	: 	: 
ICCS03011,T,P_HTHAB,SE	3.34 	3.48 	3.65 	3.87 	4.06 	3.91 	4.05 	4.23 	4.44 	4.60 	4.84 
ICCS03011,T,P_HTHAB,SI	0.34 	0.68 	0.53 	1.11 	1.41 	1.46 	1.17 	1.32 	1.66 	2.07 	2.29 
ICCS03011,T,P_HTHAB,SK	2.48 	4.43 	2.64 	2.66 	2.62 	2.51 	2.83 	2.47 	2.65 	2.56 	: 
ICCS03011,T,P_HTHAB,TR	14.85 	: 	19.93 	18.74 	16.71 	13.92 	3.02 	1.12 	1.25 	0.79 	: 
ICCS03011,T,P_HTHAB,UKC-L	12.14 	11.95 	11.34 	10.71 	10.01 	9.53 	9.30 	8.85 	8.19 	8.11 	7.75 
ICCS03011,T,P_HTHAB,UKM	: 	: 	: 	: 	: 	3.03 	2.92 	3.07 	3.22 	3.32 	3.41 
ICCS03011,T,P_HTHAB,UKN	: 	: 	: 	2.92 	5.01 	5.15 	2.42 	2.21 	2.45 	2.69 	: 
ICCS03011,T,P_HTHAB,XK	2.06 	: 	: 	: 	: 	: 	: 	1.95 	2.08 	1.97 	: 
ICCS03012,F,NR,AL	0 	0 	0 	2 	2 	1 	2 	3 	5 	3 	1 
ICCS03012,F,NR,AT	0 	0 	0 	0 	1 	2 	3 	2 	1 	2 	1 
ICCS03012,F,NR,BA	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
ICCS03012,F,NR,BE	: 	: 	: 	: 	: 	: 	7 	11 	14 	16 	17 
ICCS03012,F,NR,BG	0 	1 	2 	1 	1 	1 	0 	0 	0 	0 	0 
ICCS03012,F,NR,CH	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 	1 
ICCS03012,F,NR,CZ	3 	4 	5 	6 	23 	174 	26 	20 	: 	: 	: 
ICCS03012,F,NR,DE	18 	12 	33 	19 	22 	24 	: 	: 	: 	: 	: 
ICCS03012,F,NR,DK	3 	1 	2 	2 	2 	1 	0 	3 	1 	2 	: 
ICCS03012,F,NR,EE	0 	0 	0 	0 	: 	0 	: 	0 	: 	: 	: 
ICCS03012,F,NR,EL	0 	0 	11 	3 	3 	2 	1 	1 	1 	1 	1 
ICCS03012,F,NR,ES	40 	15 	3 	42 	49 	42 	50 	47 	42 	42 	26 
ICCS03012,F,NR,FI	: 	: 	: 	2 	3 	3 	3 	7 	5 	1 	0 
ICCS03012,F,NR,FR	7 	7 	5 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,F,NR,HR	1 	: 	: 	1 	2 	3 	2 	: 	1 	4 	4 
ICCS03012,F,NR,HU	4 	3 	: 	0 	1 	0 	: 	: 	: 	: 	: 
ICCS03012,F,NR,IS	0 	0 	: 	: 	: 	0 	: 	: 	: 	: 	: 
ICCS03012,F,NR,IT	: 	: 	: 	: 	50 	46 	46 	57 	66 	47 	52 
ICCS03012,F,NR,LI	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,F,NR,LT	1 	0 	1 	2 	: 	: 	: 	: 	: 	: 	: 
ICCS03012,F,NR,LU	: 	0 	1 	0 	0 	0 	0 	0 	: 	: 	: 
