"year","mortality_yes","mortality_no"
"2010",20.727272727272727,77
"2011",22.727272727272727,76.66666666666667
"2012",25.333333333333332,79.16666666666667
"2013",37.53846153846154,65.71428571428571
"2014",33.642857142857146,65.2
"2015",37.07142857142857,70.77777777777777
"2016",37.142857142857146,66.55555555555556
"2017",29.142857142857142,79
"2018",32.42857142857143,92.125
