"year","mortality_yes","mortality_no"
"2010",35.22222222222222,42.285714285714285
"2011",37.77777777777778,40.285714285714285
"2012",37.55555555555556,40.75
"2013",51.81818181818182,34.5
"2014",46.72727272727273,40.583333333333336
"2015",48,46.81818181818182
"2016",49.27272727272727,43.54545454545455
"2017",40.27272727272727,43.5
"2018",46.72727272727273,57.4
