Citizenship,Sex,Measurement,Country,1980,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All Prisoners,Both sexes,Prisoners,Albania,..,..,..,..,..,..,..,..,..,..,..,..,4695,4605,4607,4890,5385,5535,5882,6031,5674,5316,5045
All Prisoners,Both sexes,Prisoners,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41,46,43,49,49
All Prisoners,Both sexes,Prisoners,Armenia,..,..,..,7118,5546,5479,2856,2710,2873,3083,3539,3965,4313,5142,4532,4756,3923,3880,3873,3833,3536,2266,2221
All Prisoners,Both sexes,Prisoners,Austria,..,..,6714,6861,6952,7715,7921,8642,8826,8751,8861,7886,8467,8569,8793,8738,8878,8809,9036,8619,8852,9099,9239
All Prisoners,Both sexes,Prisoners,Belarus,..,..,40356,44711,44168,38936,38170,33453,32756,36168,38460,36732,32936,33000,31042,23925,22612,23618,26443,28787,28927,32556,28531
All Prisoners,Both sexes,Prisoners,Belgium,5922,6485,7608,8860,8953,9367,9646,9896,9974,10437,..,..,..,10535,10973,11330,11644,11578,11040,10619,10471,..,..
All Prisoners,Both sexes,Prisoners,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,2221,2231,..,2521,2537,2298,2214,2361,3111,4441
All Prisoners,Both sexes,Prisoners,Bulgaria,13124,10779,8287,10008,8868,8882,9282,9931,10722,11308,10961,10182,10093,10448,9885,9493,8834,7870,7408,7345,6988,6651,6448
All Prisoners,Both sexes,Prisoners,Canada,..,..,..,31366,31787,32181,31722,32093,33376,35369,36391,37133,37301,38195,39080,39655,36845,39623,40147,39873,38809,37854,..
All Prisoners,Both sexes,Prisoners,Croatia,..,..,..,1661,1761,1726,1791,2032,2293,2594,2909,3294,3592,3894,4089,3890,3326,2881,2426,2293,2234,2177,2226
All Prisoners,Both sexes,Prisoners,Cyprus,..,218,202,312,369,345,355,546,536,599,646,646,670,637,634,694,592,537,596,668,625,648,681
All Prisoners,Both sexes,Prisoners,Czechia,..,..,17594,20698,18799,15824,17000,18094,18937,18578,20293,20502,21734,21892,23154,22612,16609,18658,20810,22481,22159,21577,21048
All Prisoners,Both sexes,Prisoners,Denmark,3240,3230,3438,3240,3105,3404,3522,3757,4132,3759,3624,3451,3721,3944,3947,3829,4091,3583,3203,3408,3418,3635,3920
All Prisoners,Both sexes,Prisoners,Estonia,..,..,..,..,4618,4342,4529,4525,4420,4310,3456,3656,3555,3393,3400,3286,3123,3034,2823,2864,2723,2584,2487
All Prisoners,Both sexes,Prisoners,Finland,5132,3547,3204,2903,3170,3441,3641,3703,3867,3851,3624,3531,3589,3364,3268,3306,3295,3148,3135,3156,3082,2910,2952
All Prisoners,Both sexes,Prisoners,France,..,..,55062,47837,48594,55407,59246,59197,59522,60403,64003,66178,66089,66975,73780,76798,77883,77291,66678,68432,68974,70059,70651
All Prisoners,Both sexes,Prisoners,Georgia,..,..,..,8349,7575,6853,6119,7867,9144,15464,18304,18659,21239,23684,24114,19349,9093,10372,9716,9334,9280,9575,9740
All Prisoners,Both sexes,Prisoners,Germany,51889,44335,70252,70252,70203,70977,79153,79452,78664,76629,72656,72259,70817,69385,68099,65902,62632,61872,61737,62865,64351,63643,63146
All Prisoners,Both sexes,Prisoners,Greece,..,..,..,..,7267,7844,8170,9018,9270,9685,10348,10561,9265,10480,10752,11187,11571,11798,9611,9560,10011,10654,10891
All Prisoners,Both sexes,Prisoners,Hungary,..,12319,12455,15539,17275,17838,16507,16543,15720,14821,14331,14702,15360,16328,17210,17179,17841,17890,17449,17658,17343,16303,16334
All Prisoners,Both sexes,Prisoners,Iceland,..,88,94,90,99,104,109,112,108,115,124,120,132,154,143,141,147,142,139,116,150,147,158
All Prisoners,Both sexes,Prisoners,Ireland,..,..,..,..,3163,..,3146,2660,2637,2725,2696,10928,12339,13758,13952,13860,13055,13408,..,..,..,..,..
All Prisoners,Both sexes,Prisoners,Italy,31184,25931,47344,54039,55751,55670,54237,56068,59523,39005,48693,58127,64791,67961,66897,65701,62536,53623,52164,54653,57608,59655,60769
All Prisoners,Both sexes,Prisoners,Kyrgyzstan,..,..,16391,18854,16597,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
All Prisoners,Both sexes,Prisoners,Latvia,..,..,..,4833,4609,4505,4795,4808,4608,4643,4701,4872,4959,4701,4488,4171,3603,3253,3000,2966,2714,2541,2465
All Prisoners,Both sexes,Prisoners,Lithuania,..,8376,12766,9315,11267,10764,7869,7941,7958,7908,7674,7800,8467,8981,9790,9617,9172,8552,7270,6757,6548,6433,6098
All Prisoners,Both sexes,Prisoners,Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,684,656,..
All Prisoners,Both sexes,Prisoners,Malta,..,..,..,246,257,283,278,298,294,375,382,662,494,584,584,585,615,581,569,553,591,635,754
All Prisoners,Both sexes,Prisoners,Netherlands,3209,6892,10329,11759,12410,13062,13981,16454,17599,16230,14451,13530,13262,13293,12737,12112,11167,10361,9143,9123,9549,9972,10404
All Prisoners,Both sexes,Prisoners,North Macedonia,..,..,..,..,..,..,..,..,..,2167,..,..,..,..,..,..,..,..,..,..,..,..,..
All Prisoners,Both sexes,Prisoners,Norway,1797,2379,2478,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
